City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,dudinka,86.1778,69.4058,289.05,60,78,0.5,RU,1691527554
1,mount pearl,-52.7813,47.5166,286.4,89,100,3.6,CA,1691482650
2,xifeng,124.7222,42.7372,294.63,85,95,2.48,CN,1691527214
3,albany,-73.9662,42.6001,293.9,82,82,0.45,US,1691488490
4,hawaiian paradise park,-154.9731,19.5933,300.87,75,100,2.06,US,1691510297
5,blackmans bay,147.3167,-43.0167,282.44,79,29,3.45,AU,1691529229
6,skiathos,23.4909,39.1623,296.47,56,1,9.08,GR,1691551991
7,bethel,-73.414,41.3712,296.75,72,0,3.6,US,1691488524
8,mugia,-9.2179,43.1041,292.54,83,0,4.53,ES,1691559333
9,tolanaro,46.9987,-25.0319,292.19,94,20,4.12,MG,1691551471
10,georgetown,100.3354,5.4112,299.23,83,20,1.54,MY,1691536475
11,tazovsky,78.7,67.4667,281.66,95,91,5.92,RU,1691530983
12,rumonge,29.4386,-3.9736,295.76,56,20,1.21,BI,1691554137
13,yellowknife,-114.3525,62.456,295.44,40,20,7.2,CA,1691493553
14,hadibu,54.0333,12.65,298.81,81,99,9.15,YE,1691547072
15,remire-montjoly,-52.2667,4.9167,300.17,83,0,1.54,GF,1691486735
16,bac kan,105.8333,22.1333,298.84,98,99,0.32,VN,1691533903
17,tralee,-9.7026,52.2704,289.15,98,100,1.83,IE,1691557901
18,illizi,8.4667,26.4833,306.26,21,49,6.48,DZ,1691556906
19,sihanoukville,103.5296,10.6093,301.12,83,40,3.09,KH,1691535340
20,ust-nera,143.2,64.5667,289.91,53,89,1.18,RU,1691517216
21,port mathurin,63.4167,-19.6833,295.77,57,25,8.02,MU,1691547109
22,adamstown,-130.1015,-25.066,295.49,86,95,15.62,PN,1691507600
23,nagrota,76.0833,32.05,299.15,73,63,1.94,IN,1691540146
24,vorgashor,63.95,67.5833,281.9,72,100,3.54,RU,1691534449
25,stanley,-1.6985,54.868,284.42,79,0,3.09,GB,1691555400
26,kajaani,27.7285,64.2273,290.18,94,0,2.06,FI,1691545160
27,puerto natales,-72.4875,-51.7236,274.76,98,99,0.52,CL,1691496955
28,nemuro,145.575,43.3236,291.86,100,100,6.35,JP,1691522124
29,puerto ayora,-90.3518,-0.7393,297.34,87,43,3.13,EC,1691496270
30,la passe,-0.8967,45.5549,290.36,64,7,3.13,FR,1691556978
31,edinburgh of the seven seas,-12.3116,-37.0676,284.66,88,100,10.97,SH,1691566814
32,northam,-4.2167,51.0333,289.48,97,100,3.67,GB,1691556832
33,nar'yan-mar,53.087,67.6713,283.01,73,67,1.34,RU,1691537000
34,enewetak,162.3373,11.3474,301.77,77,82,6.88,MH,1691521171
35,anadyr,177.4833,64.75,283.43,87,75,8.0,RU,1691508874
36,college,-147.8028,64.8569,291.25,87,100,2.06,US,1691500467
37,invercargill,168.35,-46.4,279.83,76,96,7.15,NZ,1691524649
38,weno,151.8468,7.4515,304.12,79,100,1.54,FM,1691523969
39,machico,-16.7667,32.7,296.5,83,20,1.54,PT,1691562375
40,qaqortoq,-46.0333,60.7167,278.06,89,20,1.9,GL,1691477805
41,nagato,131.2,34.3833,302.14,75,100,7.5,JP,1691526670
42,petropavlovsk-kamchatsky,158.6483,53.0452,290.48,63,75,3.0,RU,1691517286
43,klyuchi,79.1667,52.2667,291.62,48,71,1.47,RU,1691536549
44,tan-tan,-11.1032,28.438,293.84,90,23,5.44,MA,1691561427
45,vilyuysk,121.6247,63.7553,291.81,40,72,4.02,RU,1691522802
46,port-aux-francais,70.2167,-49.35,274.59,71,87,8.58,TF,1691548631
47,grytviken,-36.5092,-54.2811,270.27,80,31,4.1,GS,1691488837
48,san patricio,-97.5169,28.017,307.55,59,0,8.14,US,1691495780
49,hermanus,19.2345,-34.4187,284.71,84,0,5.25,ZA,1691558977
50,puerto deseado,-65.8938,-47.7503,283.19,51,69,9.44,AR,1691494702
51,mata-utu,-176.1745,-13.2816,301.2,73,9,2.4,WF,1691604121
52,yuzhno-kurilsk,145.8556,44.0306,291.84,99,100,4.82,RU,1691521955
53,salalah,54.0924,17.0151,299.2,94,100,3.6,OM,1691546731
54,mount isa,139.5,-20.7333,294.02,40,26,5.14,AU,1691528937
55,papatowai,169.4708,-46.5619,278.12,80,100,7.73,NZ,1691524404
56,woods creek,-121.8985,47.8787,301.01,57,76,1.79,US,1691499192
57,west island,96.8225,-12.1568,298.14,78,40,4.63,CC,1691538540
58,tsiombe,45.4833,-25.3,292.76,88,0,4.22,MG,1691551857
59,waitangi,-176.5597,-43.9535,281.94,90,100,0.89,NZ,1691607009
60,bluefields,-83.7635,12.0137,298.19,100,40,0.0,NI,1691493784
61,yonggwang-up,127.4547,40.0183,296.38,86,92,0.86,KP,1691526917
62,longyearbyen,15.6401,78.2186,281.06,81,0,2.57,SJ,0
63,port elizabeth,25.5701,-33.918,287.09,82,79,2.26,ZA,1691557408
64,bengkulu,102.2655,-3.8004,296.7,93,73,2.03,ID,1691536649
65,jamestown,-79.2353,42.097,295.92,75,0,7.2,US,1691489824
66,saint-pierre,55.4781,-21.3393,292.97,68,40,4.12,RE,1691549141
67,tabou,-7.3528,4.423,297.12,89,100,5.94,CI,1691562389
68,lebu,-73.65,-37.6167,284.67,72,100,3.76,CL,1691495248
69,avarua,-159.775,-21.2078,297.18,57,29,5.66,CK,1691514406
70,beyneu,55.2,45.3167,301.03,38,0,3.2,KZ,1691543539
71,port-gentil,8.7815,-0.7193,296.34,83,45,5.43,GA,1691558871
72,capao da canoa,-50.0097,-29.7456,289.36,72,100,7.16,BR,1691488795
73,sao joao da barra,-41.0511,-21.6403,296.2,86,41,6.96,BR,1691485958
74,udachny,112.4,66.4167,292.29,55,16,4.46,RU,1691523579
75,kuanda,116.0806,56.3161,295.01,56,68,1.21,RU,1691526732
76,sitka,-135.33,57.0531,289.09,77,100,4.63,US,1691500434
77,utrik,169.8474,11.2278,301.59,77,88,5.91,MH,1691519377
78,sakchu-up,125.0467,40.3894,299.28,78,12,1.58,KP,1691527448
79,seydi,62.9137,39.4816,299.47,36,0,3.46,TM,1691542484
80,santiago de cao,-79.2392,-7.9589,295.22,83,81,3.6,PE,1691494107
81,alice springs,133.8833,-23.7,289.9,42,0,0.0,AU,1691530520
82,saipan,145.701,15.1355,304.54,100,20,4.12,MP,1691524884
83,dryden,-92.7503,49.7833,292.31,68,75,3.09,CA,1691491850
84,minas de marcona,-75.1103,-15.2119,286.4,84,10,4.99,PE,1691493638
85,whitehorse,-135.0538,60.7161,289.58,72,75,5.66,CA,1691499208
86,kapa'a,-159.319,22.0752,309.14,75,100,8.75,US,1691511138
87,teyateyaneng,27.7489,-29.1472,280.96,36,0,1.96,LS,1691556440
88,linfen,111.5189,36.0889,300.22,61,15,1.78,CN,1691531210
89,kodiak,-152.4072,57.79,285.88,94,100,2.06,US,1691504329
90,dois vizinhos,-53.0572,-25.7336,287.52,95,100,3.17,BR,1691489174
91,sinabang,96.3801,2.4803,298.69,83,96,0.85,ID,1691537629
92,hongwon,127.9558,40.0253,296.06,86,94,1.9,KP,1691526796
93,lihue,-159.3672,21.9789,308.73,68,100,8.75,US,1691511157
94,olonkinbyen,-8.7187,70.9221,277.62,93,100,8.84,SJ,1691548672
95,coquimbo,-71.3436,-29.9533,288.0,82,0,1.03,CL,1691493931
96,vorkuta,64.0,67.5,282.15,72,100,3.68,RU,1691534498
97,belmonte,-38.8828,-15.8631,295.79,83,2,3.1,BR,1691484995
98,aasiaat,-52.8699,68.7098,276.27,73,69,1.24,GL,1691474987
99,polyarnyy,33.4478,69.1989,289.06,80,0,4.69,RU,1691540456
100,la mira,-102.3266,18.035,304.08,75,3,5.0,MX,1691497782
101,hithadhoo,73.0833,-0.6,300.47,76,86,2.39,MV,1691543432
102,ulsteinvik,5.8487,62.3432,287.46,93,100,4.02,NO,1691551263
103,bjuv,12.9191,56.0837,285.84,95,20,4.63,SE,1691551585
104,ushuaia,-68.3,-54.8,272.48,94,75,2.35,AR,1691496568
105,valdivia,-73.2459,-39.8142,283.2,87,100,1.02,CL,1691495400
106,campo verde,-54.0667,-20.4167,297.88,37,10,1.46,BR,1691488984
107,ispir,40.9956,40.4829,295.26,56,1,2.58,TR,1691547622
108,estevan,-102.9842,49.1334,300.26,34,75,8.23,CA,1691494428
109,iqaluit,-68.5145,63.7506,278.54,81,88,5.36,CA,1691481951
110,wailua homesteads,-159.378,22.0669,308.39,75,100,8.75,US,1691511153
111,ancud,-73.8203,-41.8697,283.18,98,100,4.66,CL,1691495786
112,howard springs,131.047,-12.497,298.61,41,50,5.13,AU,1691530352
113,fisterra,-9.2629,42.9049,292.45,90,0,5.44,ES,1691559372
114,puerto baquerizo moreno,-89.6,-0.9,296.66,77,100,5.34,EC,1691496101
115,kalabo,22.6814,-14.97,287.9,43,4,2.09,ZM,1691556531
116,lata,-8.3327,40.1629,294.22,88,0,0.66,PT,1691559509
117,lazaro cardenas,-102.2,17.9583,304.11,75,3,5.39,MX,1691497758
118,naze,129.4833,28.3667,298.66,88,100,11.29,JP,1691527680
119,basciftlik,37.1692,40.5469,289.46,90,87,2.19,TR,1691548533
120,vallenar,-70.7581,-28.5708,291.37,51,91,0.63,CL,1691493666
121,hamilton,-84.5333,39.1834,299.39,63,20,4.63,US,1691491475
122,nantucket,-70.0995,41.2835,296.48,75,0,6.69,US,1691487739
123,badger,-147.5333,64.8,291.21,85,100,2.06,US,1691500432
124,prince rupert,-130.3201,54.3161,288.2,94,100,1.54,CA,1691499930
125,sabha,14.4283,27.0377,300.72,30,0,4.91,LY,1691555425
126,east london,27.9116,-33.0153,290.44,79,100,4.37,ZA,1691556758
127,berezovyy,135.7,51.6667,292.09,63,99,3.02,RU,1691523090
128,akoupe,-3.9003,6.39,295.64,95,97,2.26,CI,1691561424
129,palmer,-72.3287,42.1584,295.38,82,75,5.66,US,1691488157
130,vilyuchinsk,158.4028,52.9306,291.3,55,50,1.29,RU,1691517370
131,ribeira grande,-28.7,38.5167,297.47,94,100,8.94,PT,1691564602
132,pacific grove,-121.9166,36.6177,296.14,80,40,4.12,US,1691500757
133,mount gambier,140.7667,-37.8333,284.26,56,0,5.94,AU,1691530186
134,kasongo-lunda,16.8167,-6.4667,296.68,36,19,0.74,CD,1691557338
135,kavaratti,72.642,10.5669,301.03,75,100,8.29,IN,1691542757
136,as sulayyil,45.5779,20.4607,306.07,10,7,2.67,SA,1691548504
137,tiksi,128.8694,71.6872,290.23,48,9,1.78,RU,1691514255
138,chibougamau,-74.3659,49.9168,284.94,100,100,3.09,CA,1691487409
139,sirpur,79.6,19.4833,297.78,83,100,1.48,IN,1691540415
140,cutlerville,-85.6636,42.8409,297.85,78,75,4.63,US,1691491266
141,san juan de los morros,-67.3538,9.9115,296.26,94,57,0.07,VE,1691489999
142,holualoa,-155.9522,19.6228,302.06,69,20,6.69,US,1691510529
